127.0.0.1 - - [20/Nov/2017:18:27:17 +0800] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [20/Nov/2017:18:27:17 +0800] "GET /mid-term/ HTTP/1.1" 404 1079
0:0:0:0:0:0:0:1 - - [20/Nov/2017:18:27:25 +0800] "GET /mid-term//regist.html HTTP/1.1" 200 2764
0:0:0:0:0:0:0:1 - - [20/Nov/2017:18:27:25 +0800] "GET /mid-term//css/bootstrap-theme.css HTTP/1.1" 200 26132
0:0:0:0:0:0:0:1 - - [20/Nov/2017:18:27:25 +0800] "GET /mid-term//css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [20/Nov/2017:18:27:25 +0800] "GET /mid-term//css/bootstrap-theme.min.css HTTP/1.1" 200 23409
0:0:0:0:0:0:0:1 - - [20/Nov/2017:18:27:25 +0800] "GET /mid-term//js/jquery-3.2.1.js HTTP/1.1" 200 268039
0:0:0:0:0:0:0:1 - - [20/Nov/2017:18:27:25 +0800] "GET /mid-term//css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [20/Nov/2017:18:27:25 +0800] "GET /mid-term//js/jquery-3.2.1.min.js HTTP/1.1" 200 86659
0:0:0:0:0:0:0:1 - - [20/Nov/2017:18:27:25 +0800] "GET /mid-term//js/user.js HTTP/1.1" 200 3692
0:0:0:0:0:0:0:1 - - [20/Nov/2017:18:27:25 +0800] "GET /mid-term//images/regist-bg2.jpg HTTP/1.1" 200 177444
0:0:0:0:0:0:0:1 - - [20/Nov/2017:18:27:25 +0800] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [20/Nov/2017:18:27:25 +0800] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [20/Nov/2017:18:27:41 +0800] "POST /mid-term/isRepeat HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [20/Nov/2017:18:34:59 +0800] "GET /mid-term//regist.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2017:18:34:59 +0800] "GET /mid-term//css/bootstrap-theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2017:18:34:59 +0800] "GET /mid-term//css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2017:18:34:59 +0800] "GET /mid-term//css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2017:18:34:59 +0800] "GET /mid-term//css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2017:18:34:59 +0800] "GET /mid-term//js/jquery-3.2.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2017:18:34:59 +0800] "GET /mid-term//js/jquery-3.2.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2017:18:34:59 +0800] "GET /mid-term//js/user.js HTTP/1.1" 200 4278
0:0:0:0:0:0:0:1 - - [20/Nov/2017:18:34:59 +0800] "GET /mid-term//images/regist-bg2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2017:18:35:00 +0800] "GET /mid-term//regist.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2017:18:35:00 +0800] "GET /mid-term//css/bootstrap-theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2017:18:35:00 +0800] "GET /mid-term//css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2017:18:35:00 +0800] "GET /mid-term//css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2017:18:35:00 +0800] "GET /mid-term//js/user.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2017:18:35:00 +0800] "GET /mid-term//css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2017:18:35:00 +0800] "GET /mid-term//js/jquery-3.2.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2017:18:35:00 +0800] "GET /mid-term//js/jquery-3.2.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2017:18:35:00 +0800] "GET /mid-term//images/regist-bg2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2017:18:35:00 +0800] "GET /mid-term//regist.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2017:18:35:00 +0800] "GET /mid-term//css/bootstrap-theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2017:18:35:00 +0800] "GET /mid-term//css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2017:18:35:00 +0800] "GET /mid-term//js/user.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2017:18:35:00 +0800] "GET /mid-term//js/jquery-3.2.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2017:18:35:00 +0800] "GET /mid-term//css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2017:18:35:00 +0800] "GET /mid-term//js/jquery-3.2.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2017:18:35:00 +0800] "GET /mid-term//css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2017:18:35:01 +0800] "GET /mid-term//images/regist-bg2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2017:18:35:14 +0800] "POST /mid-term/isRepeat HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [20/Nov/2017:18:35:20 +0800] "POST /mid-term/isRepeat HTTP/1.1" 200 35
0:0:0:0:0:0:0:1 - - [20/Nov/2017:18:35:22 +0800] "POST /mid-term/isRepeat HTTP/1.1" 200 35
0:0:0:0:0:0:0:1 - - [20/Nov/2017:18:35:51 +0800] "GET /mid-term//regist.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2017:18:35:51 +0800] "GET /mid-term//js/jquery-3.2.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2017:18:35:51 +0800] "GET /mid-term//css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2017:18:35:51 +0800] "GET /mid-term//js/jquery-3.2.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2017:18:35:51 +0800] "GET /mid-term//css/bootstrap-theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2017:18:35:51 +0800] "GET /mid-term//js/user.js HTTP/1.1" 200 4260
0:0:0:0:0:0:0:1 - - [20/Nov/2017:18:35:51 +0800] "GET /mid-term//css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2017:18:35:51 +0800] "GET /mid-term//css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2017:18:35:51 +0800] "GET /mid-term//images/regist-bg2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2017:18:35:52 +0800] "GET /mid-term//regist.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2017:18:35:52 +0800] "GET /mid-term//css/bootstrap-theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2017:18:35:52 +0800] "GET /mid-term//css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2017:18:35:52 +0800] "GET /mid-term//css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2017:18:35:52 +0800] "GET /mid-term//css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2017:18:35:52 +0800] "GET /mid-term//js/jquery-3.2.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2017:18:35:52 +0800] "GET /mid-term//js/user.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2017:18:35:52 +0800] "GET /mid-term//js/jquery-3.2.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2017:18:35:52 +0800] "GET /mid-term//images/regist-bg2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2017:18:36:00 +0800] "POST /mid-term/isRepeat HTTP/1.1" 200 35
